Defect ID,Area,Application,Module,Requirement source,Phase number if applicable,Severity,Priority,Status,Summary,Detailed description,Reproduction steps,Expected behaviour,Actual behaviour,Evidence,Affected files,Affected endpoint/route,Data-integrity risk,Financial risk,Security risk,User impact,Suggested remediation,Estimated effort,Release blocker Y/N,Retest required Y/N
DEF-ACC-001,Accounting,backend,contribution-receipts,ERP Plan / Phase 039,039,CRITICAL,P0,Open,Contribution receipts post without journals,Posted receipts set journalEntryId=null with TODO(accounting); operational balances still update,Post an approved contribution receipt,Balanced journal Dr Bank Cr Contribution + journalEntryId set,"status=Posted, journalEntryId=null",Unit test expects null; service TODO comment,contribution-receipts.service.ts; contribution-receipts.mapper.ts,POST /projects/:projectId/contribution-receipts/:id/post,Y,Y,N,Funding missing from GL / investor statements unreliable,Wire JournalService.create on post; flip tests to require journal,L,Y,Y
DEF-ACC-002,Accounting,backend,contractor-bills,ERP Plan / Phase 095,095,CRITICAL,P0,Open,Running bills post without AP journals,post() only updates status timestamps; no JournalService,Post director-approved running bill,Dr cost / Cr Contractor Payable journal,Posted with no journal,contractor-bills.service.ts post method has no journal import,contractor-bills.service.ts,POST /contractor-bills/:id/post,Y,Y,N,Payable never recognized; payments unbalance concepts,Create AP journal at bill post; store journalEntryId,L,Y,Y
DEF-ACC-003,Accounting,backend,goods-receipts,ERP Plan / Phase 068,068,HIGH,P1,Open,GRN posts stock without inventory journal,Stock qty increases; no GRNI/inventory GL,Post GRN after QC,Documented inventory accounting policy applied,Qty-only stock movement,goods-receipts.service.ts post(),goods-receipts.service.ts,POST /goods-receipts/:id/post,Y,Y,N,Stock vs financial inventory diverge,Implement inventory journals or explicit periodic policy + controls,M,Y,Y
DEF-SEC-001,Security,backend,project-access,ERP Plan access model,,CRITICAL,P0,Open,Project access guard opt-in only,Global guard no-ops without @RequireProjectAccess (~9 routes); PO/journals/bookings lack assertCanAccessProject,Call foreign projectId on undecorated route with valid JWT+permission,403 project access denied,Likely 200 if permission allows,project-access.guard.ts; decorator usage grep count ~9 handlers,project-access.guard.ts; purchase-orders; journal; bookings,Most /api/v1 project-scoped routes,Y,N,Y,Cross-project IDOR,Default-deny project scope; service-level asserts,L,Y,Y
DEF-WEB-001,Investor portal,web,investor-portal,Phases 132-134,132,CRITICAL,P0,Resolved,Web/investor production build fails,Broken relative imports and MUI Stack prop typing,pnpm --filter @luxaria/web build / docker build web,Successful build,tsc errors on InvestorDashboardPage and Stack,docs/audit/logs/build.log; docker-build.log; docs/audit/remediation/R-004-R-005-completion.md,apps/web/src/investor-portal/*,/investor/*,N,N,N,Cannot ship web image,Fix imports to ./ and Stack API; green build,S,Y,Y
DEF-MOB-001,Mobile,mobile,notifications,Phase 130,130,HIGH,P1,Resolved,Mobile typecheck fails,notifications.ts missing exports used by screens,pnpm --filter @luxaria/mobile typecheck,Pass,TS2305/TS2554 errors,docs/audit/logs/typecheck.log; docs/audit/remediation/R-004-R-005-completion.md,apps/mobile/src/api/notifications.ts,n/a,N,N,N,CI typecheck fails,Restore client API surface,S,Y,Y
DEF-AP-001,Procurement,backend+web,vendors,Phase 057,057,HIGH,P1,Open,Vendor ledger API is placeholder,Returns opening/closing 0 and empty entries,GET /vendors/:id/ledger,Journal-backed vendor ledger,Empty placeholder note,vendors.service.ts getLedgerPlaceholder,vendors.service.ts; vendors.controller.ts,GET /api/v1/vendors/:id/ledger,Y,Y,N,AP enquiry broken on vendor screen,Reuse accounting-reports vendor ledger,S,Y,Y
DEF-UI-001,Finance UI,backend,finance-dashboard,Phase 023,023,MEDIUM,P2,Open,Finance dashboard bank recon stub,available:false despite BankReconciliationModule,Fetch finance dashboard,Pending recon metrics,Stub unavailable message,finance-dashboard.service.ts lines ~181-192,finance-dashboard.service.ts,GET /finance-dashboard,N,N,N,Misleading director KPI,Wire live recon pending query,S,N,Y
DEF-NOTIF-001,Notifications,backend,whatsapp,Comms,,MEDIUM,P2,Open,WhatsApp always placeholder,Channel skips with whatsapp_placeholder,Enqueue WhatsApp notification,Deliver or hard-disable with config flag,Always skipped,whatsapp.channel.ts,whatsapp.channel.ts,n/a,N,N,N,False expectation of WhatsApp,Integrate or document disabled,M,N,Y
DEF-OPS-001,DevOps,ci+docs,deploy/backup,Phase 139,139,HIGH,P1,Open,Deploy placeholder; restore not tested,deploy.yml no-op; no in-repo restore script executed,Run deploy workflow; restore Atlas backup to isolated DB,Deployed release + successful restore evidence,Placeholder notice; restore not performed,deploy.yml; AWS_PRODUCTION_RUNBOOK.md,.github/workflows/deploy.yml; docs/AWS_PRODUCTION_RUNBOOK.md,n/a,Y,N,Y,No proven recovery,Implement deploy; execute restore drill,L,Y,Y
DEF-E2E-001,QA,web,playwright,Phases 137-138,137,HIGH,P1,Open,Web golden E2E skipped,test.skip(true) on golden-path specs,pnpm --filter @luxaria/web test:e2e,UI golden paths pass,Skipped,apps/web/e2e/golden-path-*.spec.ts,apps/web/e2e/,n/a,N,N,N,No UI E2E safety,Enable with seeded actors,M,Y,Y
DEF-DEP-001,Security,backend,nodemailer,Dependencies,,HIGH,P1,Open,Production dependency high vulnerabilities,pnpm audit --prod: nodemailer highs,pnpm audit --prod,Clean audit,2 high / 7 moderate / 1 low,docs/audit/logs/audit-prod.log,apps/backend/package.json,n/a,N,N,Y,Email provider attack surface,Upgrade nodemailer to patched release,S,Y,Y
DEF-TEST-001,QA,backend,jest mongo-memory,CI reliability,,HIGH,P1,Open,MongoMemoryServer fails locally (exit 48),74 unit suites + all integration fail starting memory mongo,pnpm test:unit / test:integration,Pass,Instance closed unexpectedly code 48,docs/audit/logs/test-unit.log; test-integration.log,jest configs; mongodb-memory-server,n/a,N,N,N,Cannot trust local unit/integration on this host,Fix binary/arch or use Docker Mongo; verify CI,M,Y,Y
DEF-RBAC-001,RBAC,backend,role.seed,Audit role list,,MEDIUM,P2,Open,Labour Coordinator role missing,Not in ROLE_SEEDS,List seeded roles,LABOUR_COORDINATOR present,Absent,role.seed.ts ROLE_SEEDS,apps/backend/src/modules/rbac/role.seed.ts,RBAC seeds,N,N,N,Role model gap vs ops staffing,Add role + permission set,S,N,Y
DEF-BUILD-001,Build,monorepo,quality gates,CI,,HIGH,P0,Partially Resolved,Quality gates not green,typecheck/lint/format/web build failures,pnpm typecheck lint format:check build,All pass,typecheck/lint/build green; format:check still ~2388 files (deferred),docs/audit/logs/*.log; docs/audit/remediation/R-004-R-005-completion.md,monorepo,n/a,N,N,N,Release blocked by toolchain,Fix compile/lint blockers first; separate formatting-only change,M,Y,Y
DEF-STOR-001,Storage,backend,documents/uploads,File security,,MEDIUM,P2,Open,Dual S3 + local uploads,Documents on S3; many masters/PDFs on local disk,Upload company logo vs document,Single private store with ACL,Mixed storage,s3-storage.service.ts vs uploads/,documents module; various multer upload paths,various upload endpoints,Y,N,Y,Ephemeral disk loss; inconsistent ACL,Consolidate on documents/S3,L,Y,Y
